time_step,text_hash,source_label,trace_status,trace_error,trace_mode,ate,ate_ci_lower,ate_ci_upper,ci_width,refuted_count,identifiable,concept_count,edge_count,adj_density,max_delta_nll,concept_coverage,condition_number,unk_rate,ccm_coverage_pct,ccm_verdict,edm_rho_high,edm_rho_mid,havok_status,havok_linear_pct,causallearn_consensus,edge_stability_mean,permutation_p_value,total_ms,consensus_score,consensus_direction,z_pca_1,z_pca_2,z_pca_3,secular_entropy,z_福音,z_吉祥,z_奥美,z_存在,z_自孕,z_弥赛亚,z_Alice,z_觉爱,dz_福音,dz_吉祥,dz_奥美,dz_存在,dz_自孕,dz_弥赛亚,dz_Alice,dz_觉爱,d2z_福音,d2z_吉祥,d2z_奥美,d2z_存在,d2z_自孕,d2z_弥赛亚,d2z_Alice,d2z_觉爱,z_福音_zscore,z_吉祥_zscore,z_奥美_zscore,z_存在_zscore,z_自孕_zscore,z_弥赛亚_zscore,z_Alice_zscore,z_觉爱_zscore,dz_福音_zscore,dz_吉祥_zscore,dz_奥美_zscore,dz_存在_zscore,dz_自孕_zscore,dz_弥赛亚_zscore,dz_Alice_zscore,dz_觉爱_zscore,d2z_福音_zscore,d2z_吉祥_zscore,d2z_奥美_zscore,d2z_存在_zscore,d2z_自孕_zscore,d2z_弥赛亚_zscore,d2z_Alice_zscore,d2z_觉爱_zscore
2026-07-13 23:01,d5746d50,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,-0.00861446539490543,-0.011179527814850678,-0.06431647725529283,0.643338687500494,-0.8982916083997405,-0.12846903717397884,0.02194755014634954,0.1474008414143205,0.08624258392029614,0.05340918658474085,0.05919523086416117,-0.11380061044640284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 11:01,c608f731,手动输入,LEGACY,,unknown,-0.7610436455933494,-0.9456592560942361,-0.5764280350924627,0.3692312210017734,0,1,9,12,0.4321,8.0,1.0,3840040.08,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,3070,,,-0.029861540015151206,-0.04550212875080378,0.021014329921486403,0.9552660740891695,-0.900325839782304,-0.13203378123351722,0.02321827020127143,0.14066417845955337,0.0792009853214598,0.06880071403733921,0.0551289831102328,-0.1025296149432632,-4.708868941119035e-08,-8.251722360042552e-08,2.9414816086154848e-08,-1.55941272101091e-07,-1.6299996756565596e-07,3.562853576990362e-07,-9.412610541500848e-08,2.609026736837881e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14 23:01,9267fb2f,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,0.03519236186043753,-0.0059110921266728855,0.011921236267772844,0.7756870694601004,-0.8880468535443031,-0.13657916425143565,0.02398533102677781,0.1491812249034619,0.08549469455752888,0.07374280200609973,0.060197868722372254,-0.10916120403695967,2.842357925463156e-07,-1.0521719948885256e-07,1.7756037627462544e-08,1.971538528682528e-07,1.4568771379789526e-07,1.1440018446204894e-07,1.1733531509582066e-07,-1.535090067985295e-07,7.669548193460785e-12,-5.254624048246999e-13,-2.698791309882478e-13,8.173498263179255e-12,7.145548179711833e-12,-5.59919382493026e-12,4.894940289602526e-12,-9.592862974127724e-12,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15 11:01,7c3f0ac7,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,0.05685836854273492,0.004603272395293522,-0.008296779664248875,0.5454812949064304,-0.879153289556475,-0.13416375519306362,0.0206849240775099,0.1581477917171038,0.09603009587692733,0.07293153741755147,0.06252377044322753,-0.11054118330725075,2.0586953675528116e-07,5.5912246721574924e-08,-7.639830901083124e-08,2.075594169824517e-07,2.4387503054163083e-07,-1.8779272883061523e-08,5.384031761239066e-08,-3.19439645900714e-08,-1.8140336988665378e-12,3.7298482919080436e-12,-2.179498764775319e-12,2.4086953968052983e-13,2.2728545542531383e-12,-3.082857808914594e-12,-1.4697916084127312e-12,2.814005606677271e-12,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15 23:01,a10b0ffd,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,0.060784140484318405,-0.018609860435676973,-0.007003832253313212,0.7115857255172734,-0.876759521382672,-0.13953763947391976,0.023121275656509697,0.16362014667582236,0.10034571090227945,0.07895086491653543,0.0615588786251937,-0.10771775193087114,5.541130031951367e-08,-1.243954694642625e-07,5.639702729166194e-08,1.266748833036704e-07,9.989849595722495e-08,1.393362846987027e-07,-2.2335458750783116e-08,6.535720778656503e-08,-3.4828295471242478e-12,-4.1737897265240144e-12,3.0739661181132685e-12,-1.8723271684903074e-12,-3.332790152416803e-12,3.660082351429728e-12,-1.7633281565549486e-12,2.25234195316288e-12,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16 11:01,67a1efc4,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,-0.0076616222683427715,0.009012676339359161,0.00941478272239167,0.9965552854778972,-0.895890424627832,-0.1390477244668409,0.026851468844879753,0.15038822235984048,0.079038657498006,0.06928759177189868,0.06610929368427529,-0.10081171404477728,-4.428449825268514e-07,1.1340625163862152e-08,8.634706454560314e-08,-3.0629454435143253e-07,-4.932188288026263e-07,-2.2368687834807285e-07,1.0533368192318493e-07,1.5986198810402474e-07,-1.1533710251073264e-11,3.1420392275028855e-12,6.932878993967869e-13,-1.0022440454979234e-11,-1.3729567702774335e-11,-8.4033139594161e-12,2.955304182267779e-12,2.1876106554967527e-12,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16 23:01,558a24e4,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,0.0007601365740374788,-0.008800113346386543,-0.013712944677218585,0.7201487775257746,-0.8952075410562503,-0.13433516518106303,0.023189738632597424,0.1444236016982609,0.07679354827713171,0.06811264609248757,0.058405414692440955,-0.10975596470300875,1.5807490082908294e-08,1.0908702050411756e-07,-8.476227343246133e-08,-1.3806992272174936e-07,-5.197012085357144e-08,-2.7197816653034894e-08,-1.7833053221838736e-07,-2.0704283931091367e-07,1.0616955384485179e-11,2.26264804028369e-12,-3.960864305047789e-12,3.8940884636500734e-12,1.0214090461783678e-11,4.54835790960736e-12,-6.566301253277136e-12,-8.493167301271723e-12,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17 11:01,e5d74512,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,0.026065864703603336,0.008049078753358018,-0.025504814810154812,0.9059714012790836,-0.887402396348949,-0.12893467499526934,0.02646689946657322,0.15524349951597471,0.09049277480482681,0.06959166735991024,0.05540002905656455,-0.11389935555825227,1.8067464600234526e-07,1.2501134689337255e-07,7.586020449018046e-08,2.5046059763226407e-07,3.171117251781274e-07,3.423660341256168e-08,-6.956911194158349e-08,-9.591182535285939e-08,3.816369349986967e-12,3.6861866641793964e-13,3.7181129148759675e-12,8.993762045231793e-12,8.543561250733768e-12,1.4220930570739947e-12,2.5176254693704602e-12,2.5724771749549602e-12,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17 23:01,0f961b42,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,0.04576356394382443,0.008287816112283138,-0.006746068534400573,0.6639492245656831,-0.8824584788547837,-0.13259345046346838,0.020255971263079396,0.16189316309008697,0.1015774483214192,0.07856785259098004,0.0630669565072991,-0.1126600708285961,1.1444253458716064e-07,-8.469387657868144e-08,-1.4377148619198665e-07,1.5392739754889486e-07,2.565896647359348e-07,2.0778206553402314e-07,1.774751724707072e-07,2.868714651981889e-08,-1.5331507272033476e-12,-4.85428758037162e-12,-5.084066913939053e-12,-2.2345648167446576e-12,-1.4009736213470514e-12,4.017256067626423e-12,5.7186176947289515e-12,2.8842354600157004e-12,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-18 11:01,ea5d4b29,手动输入,LEGACY,,unknown,0.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0,0,unavailable,-1.0,0,0.0,1.0,0,,,0.018898230566697108,0.020762027496970543,-0.016415211630318637,0.9958379080300062,-0.89002732032163,-0.13611465542598677,0.023540746329463534,0.15095374692302446,0.08717296606103984,0.07192776485555327,0.06321396274897526,-0.11383146816322741,-1.7520466358440584e-07,-8.150937413237034e-08,7.603645987000319e-08,-2.5322722608940993e-07,-3.334370893606332e-07,-1.5370573461636028e-07,3.4029222610221386e-09,-2.7115679042391514e-08,-6.7047962539714465e-12,7.371533440534957e-14,5.088146899583098e-12,-9.424875547182981e-12,-1.3658026715198333e-11,-8.367773151629247e-12,-4.029450236335302e-12,-1.2917320731993148e-12,,,,,,,,,,,,,,,,,,,,,,,,
